R;G;B;A;Count
255;255;255;253;2
0;255;255;176;2
255;255;255;101;1
255;255;255;148;1
255;255;255;189;1
255;255;255;248;2
8;0;0;253;2
0;255;255;247;1
0;255;255;232;3
0;255;255;208;1
255;255;255;32;1
255;255;255;112;1
255;255;255;159;2
255;255;255;194;1
255;255;255;222;2
255;255;255;239;1
255;255;255;226;1
255;255;255;244;3
8;0;0;252;1
255;255;255;123;2
255;255;255;166;1
255;255;255;229;1
255;255;255;247;1
255;255;255;230;1
255;255;255;207;1
255;255;255;205;2
255;255;255;165;1
0;255;255;226;1
255;255;255;198;1
255;255;255;115;1
0;255;255;239;1
0;255;255;254;5
255;255;255;154;1
255;255;255;108;1
255;255;255;67;1
0;255;255;103;5
0;255;255;150;4
0;255;255;186;4
0;255;255;221;1
0;255;255;171;1
0;255;255;200;1
0;255;255;220;2
0;255;255;234;1
0;255;255;199;2
0;255;255;115;1
0;255;255;152;5
0;255;255;160;1
0;255;255;143;5
0;255;255;60;10
0;255;255;95;6
0;255;255;131;1
255;255;255;224;1
255;255;255;231;1
0;255;255;231;2
0;255;255;118;5
0;255;255;100;1
0;255;255;82;6
0;255;255;44;11
255;255;255;217;1
255;255;255;176;1
255;255;255;151;1
0;255;255;57;9
0;255;255;16;31
255;255;255;179;1
255;255;255;110;1
0;255;255;18;34
0;255;255;14;28
0;255;255;4;54
255;255;255;73;1
0;255;255;119;1
140;123;123;255;133
171;160;160;255;113
97;85;85;255;56
65;57;57;255;13
115;108;108;255;28
175;165;165;255;40
107;207;187;255;134
148;233;255;255;211
0;139;182;255;15
0;195;255;255;5
0;100;131;255;5
215;120;120;255;7
204;84;84;255;10
19;43;75;255;26
222;166;11;255;23
166;124;8;255;18
250;230;173;255;5
109;81;5;255;10
174;100;178;255;10
207;143;211;255;12
160;88;164;255;4
15;81;60;255;29
18;109;81;255;31
13;56;41;255;16
0;95;0;255;23
15;139;11;255;4
138;198;136;255;2
221;239;190;255;45
157;169;93;255;5
0;255;255;9;42
0;255;255;3;60
0;255;255;24;20
0;255;255;12;32
0;255;255;11;46
0;255;255;49;8
0;255;255;36;10
0;255;255;31;13
0;255;255;28;11
0;255;255;83;7
0;255;255;69;4
0;255;255;61;5
0;255;255;123;1
0;255;255;101;6
0;255;255;96;4
0;255;255;142;1
0;255;255;137;3
0;255;255;216;1
0;255;255;209;1
0;255;255;233;1
0;255;255;242;1
66;116;116;255;2
57;189;189;255;2
95;145;145;255;2
73;204;204;255;12
121;171;171;255;15
35;230;230;255;10
204;139;139;255;18
243;147;23;255;145
47;0;0;0;360
47;0;0;255;169
1;1;1;255;648
126;100;68;255;66
180;146;104;255;52
199;173;144;255;13
77;61;43;255;47
139;227;191;255;27
46;48;55;255;4
71;74;85;255;18
96;36;36;255;7
87;27;27;255;3
195;215;247;255;58
203;148;0;255;62
255;235;160;255;20
165;99;0;255;42
255;215;59;255;86
0;255;255;1;74
0;255;255;2;60
0;255;255;6;49
0;255;255;7;61
0;255;255;10;37
0;255;255;13;32
0;255;255;5;48
0;255;255;19;23
0;255;255;15;27
0;255;255;20;15
0;255;255;25;23
0;255;255;26;15
0;255;255;27;17
0;255;255;21;16
0;255;255;29;11
0;255;255;34;18
0;255;255;35;12
0;255;255;37;14
0;255;255;33;10
0;255;255;38;13
0;255;255;46;8
0;255;255;48;6
0;255;255;50;13
0;255;255;43;6
0;255;255;40;9
0;255;255;30;12
0;255;255;17;28
0;255;255;56;7
0;255;255;63;5
0;255;255;65;6
0;255;255;66;9
0;255;255;64;4
0;255;255;52;8
0;255;255;39;9
0;255;255;72;4
0;255;255;78;5
0;255;255;84;6
0;255;255;79;3
0;255;255;73;7
0;255;255;67;6
0;255;255;59;10
0;255;255;51;10
0;255;255;41;2
0;255;255;71;4
0;255;255;80;4
0;255;255;97;5
0;255;255;102;9
0;255;255;105;5
0;255;255;53;3
0;255;255;86;4
0;255;255;128;4
0;255;255;129;1
0;255;255;126;4
0;255;255;120;6
0;255;255;112;5
0;255;255;117;3
0;255;255;141;2
0;255;255;149;2
0;255;255;153;1
0;255;255;133;4
0;255;255;121;2
0;255;255;107;3
0;255;255;93;2
0;255;255;55;4
0;255;255;85;6
0;255;255;163;3
0;255;255;172;1
0;255;255;177;1
0;255;255;166;1
0;255;255;154;2
0;255;255;140;2
0;255;255;124;4
0;255;255;114;4
0;255;255;169;1
0;255;255;183;2
0;255;255;196;1
0;255;255;187;2
0;255;255;158;2
0;255;255;68;6
0;255;255;106;1
0;255;255;167;1
0;255;255;206;1
0;255;255;191;1
0;255;255;113;3
0;255;255;99;2
0;255;255;77;4
0;255;255;151;1
0;255;255;58;5
0;255;255;75;4
0;255;255;147;1
0;255;255;81;3
0;255;255;110;5
0;255;255;161;1
0;255;255;122;2
0;255;255;108;2
0;255;255;89;3
0;255;255;70;1
0;255;255;144;1
0;255;255;87;3
89;89;89;255;27
129;129;129;255;52
62;62;62;255;11
33;33;33;255;139
127;25;25;255;5
84;0;0;255;6
55;27;4;255;16
0;55;0;255;9
255;251;187;255;42
34;34;34;255;148
0;255;255;0;43
0;186;187;255;13
0;255;255;148;2
0;255;255;170;1
0;255;255;157;2
0;255;255;203;1
0;255;255;181;1
0;255;255;111;1
0;255;255;127;1
0;255;255;138;1
0;255;255;104;1
148;98;59;255;39
198;151;115;255;86
94;62;37;255;11
32;137;197;255;12
75;159;207;255;23
43;83;108;255;4
166;119;173;255;12
182;143;188;255;16
86;42;93;255;12
108;53;116;255;10
62;30;67;255;2
176;94;44;255;29
174;39;0;255;28
231;53;0;255;45
123;28;0;255;15
142;76;35;255;5
67;139;183;255;216
43;87;119;255;56
179;135;7;255;83
201;201;201;255;98
200;200;200;255;12
16;16;16;255;11
15;15;15;255;11
255;153;176;255;1090
255;101;136;255;505
255;205;216;255;4
179;53;91;255;94
255;175;193;255;3
127;123;123;255;1
255;255;255;102;169
30;132;190;255;18
185;164;132;255;15
20;91;132;255;20
135;112;77;255;5
123;43;127;255;46
111;89;40;255;32
155;126;60;255;31
81;65;29;255;24
52;42;18;255;3
48;43;43;255;79
74;62;65;255;41
36;33;33;255;71
115;7;37;255;8
23;21;21;255;12
181;13;13;255;7
225;19;19;255;7
148;118;127;255;6
0;127;0;255;6
218;131;131;255;3
194;131;131;255;1
233;230;118;255;22
194;189;31;255;8
203;143;9;255;7
101;84;80;255;65
142;118;112;255;73
71;59;56;255;22
190;136;136;255;54
218;187;187;255;88
236;220;220;255;5
169;98;98;255;8
187;227;251;255;220
93;53;99;255;27
124;71;132;255;39
59;34;63;255;17
12;0;0;255;100
202;153;154;255;265
224;196;196;255;409
179;112;114;255;108
84;112;74;255;6
211;176;143;255;1
130;163;118;255;18
211;160;116;255;9
171;125;99;255;26
59;153;59;255;17
95;193;95;255;25
172;223;172;255;7
47;122;47;255;5
170;208;220;255;18
208;198;0;255;23
89;45;46;255;11
196;143;144;255;29
239;226;226;255;6
166;88;90;255;12
11;27;51;255;234
142;118;166;255;65
172;162;195;255;119
110;87;133;255;24
45;57;79;255;94
58;74;104;255;97
67;86;121;255;78
34;43;59;255;24
153;84;84;255;4
