R;G;B;A;Count
185;80;4;45;2
188;84;6;26;4
195;96;14;12;6
207;118;27;6;4
211;125;31;5;8
207;117;26;8;3
191;89;10;27;4
190;87;8;33;1
188;84;6;35;2
189;86;7;29;6
205;113;24;7;13
215;132;34;6;6
197;100;16;17;1
190;87;8;32;1
187;82;5;49;2
187;82;5;65;1
187;81;5;56;5
188;83;6;39;1
191;89;10;23;6
231;160;51;3;20
245;185;66;191;2
183;75;1;36;4
184;76;2;27;3
182;73;0;17;2
182;73;0;43;2
182;73;0;55;2
185;79;3;50;4
186;81;4;40;1
193;92;11;20;2
195;96;14;20;2
192;91;10;26;7
189;85;7;30;3
187;81;5;39;3
188;83;6;28;3
187;81;5;32;3
186;81;4;49;1
245;185;66;193;4
242;141;34;194;5
195;96;13;72;2
199;104;17;74;3
201;106;19;82;1
199;104;18;99;1
197;101;15;124;1
184;77;3;199;7
240;99;3;199;31
242;142;34;199;8
240;99;2;198;23
197;101;15;115;1
200;105;18;82;1
203;110;22;52;1
212;126;31;31;1
222;145;42;16;6
193;92;11;19;1
188;84;6;48;2
188;83;6;75;1
186;81;4;99;1
186;79;4;87;1
187;82;5;59;2
194;95;12;17;6
221;143;41;4;1
222;145;43;6;8
221;141;41;8;2
212;126;31;14;2
201;106;19;24;3
192;92;11;48;3
191;89;9;57;2
190;88;8;49;1
193;93;12;37;1
193;92;11;23;3
200;105;19;11;3
233;164;53;4;7
228;155;48;5;1
213;128;32;13;3
199;104;18;24;2
194;94;13;43;3
190;88;8;62;1
190;87;8;67;2
191;90;11;48;4
197;99;15;29;1
203;110;22;12;3
219;140;40;5;12
199;103;18;9;3
182;73;0;20;6
182;73;0;12;7
197;101;16;10;7
188;83;6;38;3
187;81;5;34;1
182;73;0;46;3
183;74;1;66;1
185;78;3;74;1
190;87;8;38;1
198;102;17;25;3
205;114;24;18;2
195;97;14;35;2
190;88;9;47;1
187;83;5;57;2
186;81;4;59;1
245;185;66;194;5
242;141;34;195;5
199;104;18;85;2
202;108;20;93;1
203;110;21;110;1
202;109;20;131;1
185;79;4;202;8
240;101;4;203;27
242;143;35;203;9
240;101;4;202;25
200;106;18;143;1
202;108;20;109;1
205;114;23;77;2
209;122;28;48;2
217;134;36;28;2
230;159;50;9;4
198;103;17;15;3
198;101;16;26;5
194;94;12;44;1
190;88;8;69;1
190;86;7;103;1
189;85;7;109;1
190;87;8;75;1
192;91;11;45;1
194;95;13;24;5
200;106;20;14;6
198;101;16;13;7
236;170;57;5;6
234;166;54;9;1
224;147;44;13;2
210;124;29;23;1
202;107;20;40;2
196;99;15;58;1
193;93;11;74;3
183;75;1;195;13
192;91;11;72;1
194;95;13;55;3
197;99;15;35;3
204;113;23;18;6
215;131;34;9;3
199;103;17;12;6
184;77;2;24;2
182;73;0;31;4
212;126;31;10;2
215;132;34;14;1
209;121;28;21;1
202;109;21;35;2
197;100;16;54;2
195;97;13;75;1
240;98;1;195;26
245;185;66;195;10
194;94;12;82;2
195;97;14;59;1
200;105;18;37;2
208;120;28;19;3
219;139;39;11;3
203;110;21;14;5
193;93;12;18;4
184;77;2;22;8
185;79;3;14;10
195;97;13;23;5
195;96;13;23;3
197;100;16;27;5
195;96;14;32;1
194;93;12;36;2
192;91;11;30;6
192;91;11;20;8
202;109;21;8;3
183;74;1;61;1
183;74;1;86;1
190;86;8;72;2
193;93;11;49;2
204;111;22;33;1
211;124;30;25;3
205;114;24;33;1
197;100;16;50;2
193;93;11;70;2
190;88;8;85;2
187;82;5;69;1
186;81;4;11;5
193;93;11;43;1
194;95;13;60;2
199;104;18;87;2
203;111;21;98;1
205;114;23;116;1
205;116;23;139;1
187;81;5;206;9
240;103;5;207;24
240;104;6;209;14
242;144;36;209;9
242;144;36;208;7
186;80;4;205;7
205;115;23;140;1
206;117;24;106;1
209;121;28;74;1
213;128;31;47;1
204;112;23;21;1
200;104;18;38;1
194;96;14;63;1
192;92;11;95;1
192;92;11;92;4
195;97;14;58;1
198;101;16;36;2
202;107;20;27;3
189;86;7;28;2
187;82;5;31;1
227;152;46;12;2
221;143;41;19;1
216;132;35;29;1
209;121;28;44;1
203;109;21;63;3
198;101;16;85;1
196;98;14;106;4
184;77;2;197;13
195;97;13;99;2
196;98;14;74;2
198;102;16;48;2
206;115;25;28;2
213;128;33;16;3
199;102;17;18;4
187;81;5;38;3
183;75;1;48;2
207;118;26;10;8
207;119;27;16;4
206;116;25;21;5
209;121;28;28;1
207;119;27;38;1
205;115;24;51;2
201;108;20;69;2
199;104;17;88;2
240;99;2;197;28
245;185;66;197;9
197;102;15;97;1
199;104;17;75;4
203;109;21;50;1
210;123;29;28;3
217;136;37;20;2
207;118;26;20;1
189;85;7;31;1
190;86;8;36;1
193;92;11;39;3
202;108;20;34;1
202;109;21;27;1
208;119;26;26;2
206;115;24;28;1
202;109;21;33;1
199;104;18;32;1
198;102;16;32;2
197;100;15;31;2
184;76;2;74;3
192;90;10;85;1
199;103;17;62;1
209;121;28;46;1
212;126;31;41;1
206;117;25;52;1
188;84;6;94;1
189;86;7;66;1
190;87;8;39;2
199;104;18;39;1
199;104;18;57;2
201;108;20;76;2
204;113;22;96;2
206;117;24;116;1
208;120;25;141;1
187;82;5;208;10
188;84;6;211;3
241;105;7;213;14
241;106;7;215;7
242;145;37;215;6
245;185;66;215;15
242;145;36;213;6
240;104;6;211;14
208;120;25;140;1
207;119;25;104;1
209;122;28;74;1
210;123;29;47;3
213;129;32;29;2
216;134;35;16;4
206;116;25;31;2
201;106;20;55;2
198;101;16;87;1
194;96;13;123;1
184;77;2;198;9
197;100;15;109;1
202;107;20;53;2
200;105;19;43;1
194;94;13;42;4
188;85;6;47;1
245;185;66;5;20
218;138;38;25;1
217;134;36;36;3
211;125;30;51;1
